,Date,Time,League,Home_Team,Away_Team,Odd_Home_Mean,Odd_Away_Mean,Pred_Score_Home,Pred_Score_Away,Predicted_Result,Predicted_Points_Sum,Line,Predicted_Line,Difference,Actual_Score_Home,Actual_Score_Away
0.0,25/09/2021,16:00:00,ACB,Barcelona,Breogan,1.07,9.32,84.0,67.0,Assos,151.0,155.0,Under,4.0,78.0,69.0
1.0,25/09/2021,16:00:00,ACB,Tenerife,Bilbao,1.15,5.76,88.0,77.0,Assos,165.0,163.0,Over,2.0,89.0,79.0
2.0,25/09/2021,18:45:00,ACB,Basket Zaragoza,San Pablo Burgos,1.52,2.54,82.0,79.0,Assos,161.0,162.0,Under,1.0,54.0,75.0
3.0,25/09/2021,18:45:00,ACB,Unicaja,Gran Canaria,1.35,3.23,85.0,78.0,Assos,163.0,162.5,Over,0.5,79.0,80.0
4.0,26/09/2021,10:30:00,ACB,Real Betis,Manresa,1.72,2.15,82.0,81.0,Assos,163.0,163.5,Under,0.5,64.0,106.0
5.0,26/09/2021,10:30:00,ACB,Valencia,Murcia,1.42,2.95,82.0,77.0,Assos,159.0,160.5,Under,1.5,86.0,91.0
6.0,26/09/2021,15:00:00,ACB,Fuenlabrada,MoraBanc Andorra,1.76,2.08,84.0,84.0,Assos,168.0,166.5,Over,1.5,91.0,78.0
7.0,26/09/2021,16:30:00,ACB,Joventut Badalona,Baskonia,2.4,1.58,78.0,81.0,Diplo,159.0,160.5,Under,1.5,72.0,61.0
8.0,26/09/2021,18:00:00,ACB,Real Madrid,Obradoiro CAB,1.08,8.18,91.0,75.0,Assos,166.0,163.5,Over,2.5,76.0,68.0
9.0,01/10/2021,16:00:00,Euroleague,Unics Kazan,Zenit Petersburg,1.81,2.02,76.0,75.0,Assos,151.0,154.5,Under,3.5,69.0,70.0
10.0,01/10/2021,17:45:00,Euroleague,Fenerbahce,Crvena zvezda mts,1.18,5.01,80.0,70.0,Assos,150.0,152.0,Under,2.0,61.0,57.0
11.0,01/10/2021,18:00:00,Euroleague,Lyon-Villeurbanne,Zalgiris Kaunas,1.72,2.15,76.0,75.0,Assos,151.0,152.5,Under,1.5,88.0,76.0
12.0,01/10/2021,18:00:00,Euroleague,Olympiacos,Baskonia,1.37,3.23,80.0,74.0,Assos,154.0,154.5,Under,0.5,75.0,50.0
13.0,01/10/2021,19:00:00,Euroleague,Barcelona,Alba Berlin,1.06,9.79,88.0,70.0,Assos,158.0,159.5,Under,1.5,96.0,64.0
14.0,04/10/2021,16:00:00,VTB,BC Kalev/Cramo,Saratov,1.91,1.86,84.0,86.0,Diplo,170.0,167.5,Over,2.5,93.0,97.0
15.0,04/10/2021,16:00:00,VTB,Zenit Petersburg,Astana,1.03,11.78,86.0,66.0,Assos,152.0,153.5,Under,1.5,69.0,83.0
16.0,04/10/2021,18:30:00,ACB,San Pablo Burgos,Besiktas,1.11,6.11,84.0,70.0,Assos,154.0,154.0,Under,0.0,82.0,74.0
17.0,05/10/2021,18:00:00,LNB,Chalons-Reims,Roanne,1.51,2.41,86.0,81.0,Assos,167.0,165.5,Over,1.5,105.0,84.0
18.0,05/10/2021,18:00:00,LNB,Cholet,Pau-Orthez,1.73,2.08,80.0,81.0,Diplo,161.0,162.0,Under,1.0,77.0,80.0
19.0,05/10/2021,18:00:00,LNB,Le Mans,Nanterre,1.56,2.31,85.0,83.0,Assos,168.0,167.5,Over,0.5,86.0,75.0
20.0,05/10/2021,18:00:00,LNB,Le Portel,Lyon-Villeurbanne,5.24,1.13,73.0,85.0,Diplo,158.0,159.5,Under,1.5,69.0,94.0
21.0,05/10/2021,18:30:00,ACB,Barcelona,Basket Zaragoza,1.07,9.0,84.0,68.0,Assos,152.0,154.5,Under,2.5,76.0,63.0
22.0,05/10/2021,18:30:00,LNB,Levallois,Monaco,3.07,1.33,73.0,79.0,Diplo,152.0,155.5,Under,3.5,108.0,81.0
23.0,06/10/2021,16:00:00,Champions-League,Nizhny Novgorod,Unicaja,2.64,1.46,78.0,83.0,Diplo,161.0,161.5,Under,0.5,62.0,79.0
24.0,06/10/2021,16:00:00,Champions-League,Szombathely,AEK Athens,2.11,1.7,79.0,80.0,Diplo,159.0,159.5,Under,0.5,83.0,78.0
25.0,06/10/2021,16:00:00,Champions-League,Galatasaray,Nymburk,1.55,2.38,85.0,83.0,Assos,168.0,166.5,Over,1.5,101.0,85.0
26.0,06/10/2021,18:00:00,LNB,Limoges,JL Bourg,2.01,1.73,78.0,80.0,Diplo,158.0,159.5,Under,1.5,54.0,59.0
27.0,06/10/2021,18:00:00,BBL,Oldenburg,Rytas,1.42,2.77,86.0,81.0,Assos,167.0,165.5,Over,1.5,76.0,72.0
28.0,06/10/2021,18:00:00,Lega-A,Brindisi,Hapoel Holon,1.36,3.05,85.0,78.0,Assos,163.0,162.0,Over,1.0,61.0,88.0
29.0,06/10/2021,18:00:00,Champions-League,Strasbourg,BC Kalev/Cramo,1.24,3.89,86.0,78.0,Assos,164.0,163.5,Over,0.5,75.0,73.0
30.0,06/10/2021,18:30:00,Euroleague,Zalgiris Kaunas,Zenit Petersburg,2.81,1.44,70.0,78.0,Diplo,148.0,152.0,Under,4.0,64.0,70.0
